kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 1200 : 1024 6240 0 0 0 0 0 0 0 
_1.ptx 1194 : 1000 11192 0 0 0 0 0 0 0 
_1.ptx 1191 : 1000 6440 0 0 0 63 32 0 0 
_1.ptx 1188 : 1000 7384 0 0 0 0 0 0 0 
_1.ptx 1182 : 1000 3256 0 0 0 0 0 0 0 
_1.ptx 1207 : 499012 3163496 0 0 0 0 0 0 0 
_1.ptx 1177 : 500012 3120374 0 0 0 0 0 0 968 
_1.ptx 1175 : 500012 2668548 0 0 0 16856 16856 0 0 
_1.ptx 1172 : 500012 5236079 0 0 0 0 0 0 0 
_1.ptx 1165 : 500012 3102671 0 0 0 0 0 0 0 
_1.ptx 1164 : 500012 4075073 0 0 0 0 0 0 0 
_1.ptx 1162 : 500012 1750303 0 0 0 0 0 0 0 
_1.ptx 1159 : 1000 6896 0 0 0 0 0 0 0 
_1.ptx 1158 : 1000 11192 0 0 0 0 0 0 0 
_1.ptx 1157 : 1000 10768 0 0 0 0 0 0 0 
_1.ptx 1156 : 1000 8152 0 0 0 0 0 0 0 
_1.ptx 1153 : 1024 144 0 0 0 0 0 0 1 
_1.ptx 1152 : 1024 8864 0 0 0 0 0 0 0 
_1.ptx 1150 : 1024 13728 0 0 0 0 0 0 0 
_1.ptx 1149 : 1024 6944 0 0 0 0 0 0 0 
_1.ptx 1147 : 1024 6976 0 0 0 0 0 0 0 
_1.ptx 1145 : 1024 6976 0 0 0 0 0 0 0 
_1.ptx 1140 : 1024 7360 0 0 0 0 0 0 0 
_1.ptx 1138 : 1024 7168 0 0 0 0 0 0 0 
_1.ptx 1135 : 1024 7296 0 0 0 0 0 0 0 
_1.ptx 1132 : 1024 19968 0 0 0 0 0 0 0 
_1.ptx 1337 : 1 5 0 0 0 1 1 0 0 
_1.ptx 1336 : 1 15 0 0 0 0 0 0 0 
_1.ptx 1334 : 1 7 0 0 0 0 0 0 0 
_1.ptx 1332 : 1 336 0 0 0 0 0 0 0 
_1.ptx 1330 : 1 7 0 0 0 0 0 0 0 
_1.ptx 1328 : 1 5 0 0 0 1 1 0 0 
_1.ptx 1327 : 1 11 0 0 0 0 0 0 0 
_1.ptx 1326 : 1 10 0 0 0 0 0 0 0 
_1.ptx 1325 : 1 11 0 0 0 0 0 0 0 
